No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
7208,2010,10,28,7,82,-2,0,1029,NW,7.15,0,0
7209,2010,10,28,8,76,-1,3,1030,NW,10.28,0,0
7210,2010,10,28,9,83,-1,7,1030,NW,13.41,0,0
7212,2010,10,28,11,67,-1,12,1029,NW,18.33,0,0
7213,2010,10,28,12,45,-1,14,1028,cv,1.79,0,0
7214,2010,10,28,13,42,0,17,1027,cv,2.68,0,0
7216,2010,10,28,15,44,-1,17,1026,NW,6.26,0,0
7217,2010,10,28,16,38,-1,17,1026,SE,4.02,0,0
7226,2010,10,29,1,67,2,4,1028,NW,3.58,0,0
7227,2010,10,29,2,76,1,3,1028,NW,5.37,0,0
7228,2010,10,29,3,79,2,3,1028,cv,0.45,0,0
7229,2010,10,29,4,72,0,3,1028,NW,1.79,0,0
7231,2010,10,29,6,72,0,2,1028,cv,0.89,0,0
7233,2010,10,29,8,93,2,6,1029,NW,2.68,0,0
7235,2010,10,29,10,49,0,13,1029,NW,7.6,0,0
7236,2010,10,29,11,60,0,16,1029,NW,11.62,0,0
7237,2010,10,29,12,40,-2,18,1028,NW,16.54,0,0
7238,2010,10,29,13,34,-3,18,1026,NW,21.46,0,0
7240,2010,10,29,15,19,-4,19,1026,NW,29.51,0,0
7241,2010,10,29,16,20,-3,19,1025,NW,32.64,0,0
7242,2010,10,29,17,24,-2,17,1025,SE,3.13,0,0
7243,2010,10,29,18,31,-3,16,1026,SE,7.15,0,0
7249,2010,10,30,0,52,2,6,1027,NW,4.47,0,0
7251,2010,10,30,2,75,1,4,1027,NW,10.73,0,0
7253,2010,10,30,4,57,0,4,1027,NW,14.31,0,0
7254,2010,10,30,5,47,0,3,1027,NW,17.44,0,0
7255,2010,10,30,6,51,0,3,1028,NW,20.57,0,0
7256,2010,10,30,7,48,0,2,1028,NW,24.59,0,0
7258,2010,10,30,9,38,1,11,1029,NE,3.13,0,0
7259,2010,10,30,10,34,0,14,1029,NW,4.02,0,0
7260,2010,10,30,11,39,-2,16,1028,NW,7.15,0,0
7261,2010,10,30,12,38,-2,18,1027,NW,8.94,0,0
7262,2010,10,30,13,23,-3,18,1026,NW,10.73,0,0
7263,2010,10,30,14,12,-6,20,1026,cv,1.79,0,0
7264,2010,10,30,15,9,-4,20,1025,cv,2.68,0,0
7267,2010,10,30,18,45,3,10,1025,cv,0.89,0,0
7269,2010,10,30,20,101,1,11,1026,SE,5.81,0,0
7271,2010,10,30,22,68,3,7,1026,cv,1.78,0,0
7274,2010,10,31,1,102,2,5,1026,NW,5.37,0,0
7275,2010,10,31,2,129,1,5,1026,NW,7.16,0,0
7277,2010,10,31,4,117,0,4,1025,NW,10.74,0,0
7279,2010,10,31,6,51,-1,3,1025,NW,15.66,0,0
7282,2010,10,31,9,47,1,11,1026,NW,25.05,0,0
7285,2010,10,31,12,57,0,16,1024,NW,33.1,0,0
7286,2010,10,31,13,60,-1,18,1024,NW,36.23,0,0
7287,2010,10,31,14,42,-1,19,1023,NW,39.36,0,0
7288,2010,10,31,15,30,-1,19,1022,cv,0.89,0,0
7290,2010,10,31,17,24,-3,18,1022,NW,8.04,0,0
7292,2010,10,31,19,111,2,10,1023,cv,1.78,0,0
7294,2010,10,31,21,89,2,8,1024,NW,1.79,0,0
7295,2010,10,31,22,77,2,6,1024,NW,4.92,0,0
7296,2010,10,31,23,92,2,6,1024,NW,6.71,0,0
7297,2010,11,1,0,84,1,5,1024,NW,9.84,0,0
7298,2010,11,1,1,83,1,4,1025,NW,12.97,0,0
7299,2010,11,1,2,71,1,7,1025,NW,16.1,0,0
7300,2010,11,1,3,64,0,4,1025,NW,19.23,0,0
7302,2010,11,1,5,61,0,6,1026,NW,24.15,0,0
7304,2010,11,1,7,60,-1,5,1028,NW,32.19,0,0
7305,2010,11,1,8,41,-2,10,1029,NE,4.92,0,0
7306,2010,11,1,9,,-3,12,1030,NW,7.15,0,0
7307,2010,11,1,10,,-4,12,1030,NE,5.81,0,0
7309,2010,11,1,12,,-7,14,1029,NW,7.15,0,0
7310,2010,11,1,13,,-6,15,1029,NE,4.92,0,0
7311,2010,11,1,14,,-7,15,1028,NW,4.02,0,0
7314,2010,11,1,17,,-10,11,1028,NE,15.64,0,0
7315,2010,11,1,18,,-9,9,1029,NE,17.43,0,0
7316,2010,11,1,19,,-6,6,1030,NE,18.32,0,0
7317,2010,11,1,20,,-6,4,1030,NW,4.02,0,0
7320,2010,11,1,23,,-8,6,1032,NE,12.06,0,0
7322,2010,11,2,1,,-8,4,1031,NE,1.79,0,0
7323,2010,11,2,2,,-8,3,1032,NW,1.79,0,0
7324,2010,11,2,3,,-6,1,1031,NW,4.92,0,0
7325,2010,11,2,4,,-6,-2,1031,NW,8.94,0,0
7327,2010,11,2,6,,-6,0,1031,NE,3.13,0,0
7329,2010,11,2,8,,-5,3,1032,NW,3.58,0,0
7330,2010,11,2,9,,-7,7,1032,NW,6.71,0,0
7331,2010,11,2,10,,-10,9,1031,NW,9.84,0,0
7340,2010,11,2,19,,-6,10,1025,SE,20.56,0,0
7341,2010,11,2,20,,-6,10,1024,SE,24.58,0,0
7343,2010,11,2,22,,-2,4,1025,cv,0.89,0,0
7344,2010,11,2,23,,-2,3,1024,cv,1.78,0,0
7345,2010,11,3,0,,-1,1,1024,cv,2.67,0,0
7349,2010,11,3,4,,-1,0,1023,cv,1.78,0,0
7353,2010,11,3,8,,0,2,1024,NW,3.13,0,0
7355,2010,11,3,10,,0,10,1023,cv,0.89,0,0
7357,2010,11,3,12,,-3,16,1022,NW,5.81,0,0
7359,2010,11,3,14,,-4,19,1020,NW,12.07,0,0
7360,2010,11,3,15,50,-3,19,1020,cv,3.13,0,0
7362,2010,11,3,17,61,1,14,1021,SE,4.92,0,0
7364,2010,11,3,19,109,1,8,1022,cv,1.34,0,0
7365,2010,11,3,20,143,2,7,1022,cv,2.23,0,0
7368,2010,11,3,23,154,1,5,1023,NW,2.68,0,0
7370,2010,11,4,1,94,1,3,1022,NW,6.26,0,0
7371,2010,11,4,2,86,0,3,1023,NW,8.05,0,0
7374,2010,11,4,5,85,-1,2,1022,NW,16.1,0,0
7376,2010,11,4,7,56,-2,5,1023,NW,21.02,0,0
7378,2010,11,4,9,50,0,10,1023,NW,27.28,0,0
7379,2010,11,4,10,41,-2,13,1023,NW,30.41,0,0
7381,2010,11,4,12,30,-2,17,1022,cv,1.79,0,0
7382,2010,11,4,13,34,-3,19,1021,cv,3.58,0,0
7383,2010,11,4,14,43,-3,19,1020,SE,3.13,0,0
7384,2010,11,4,15,52,-2,19,1020,SE,7.15,0,0
7385,2010,11,4,16,44,-2,19,1020,SE,11.17,0,0
7386,2010,11,4,17,39,-2,17,1020,SE,14.3,0,0
7387,2010,11,4,18,43,-1,15,1020,SE,17.43,0,0
7388,2010,11,4,19,53,0,11,1021,SE,19.22,0,0
7389,2010,11,4,20,63,2,8,1021,cv,0.89,0,0
7390,2010,11,4,21,91,2,7,1022,NE,0.89,0,0
7391,2010,11,4,22,119,2,7,1022,cv,0.89,0,0
7392,2010,11,4,23,136,1,7,1022,NW,0.89,0,0
7393,2010,11,5,0,144,1,4,1022,NW,2.68,0,0
7395,2010,11,5,2,130,2,4,1022,cv,0.89,0,0
7396,2010,11,5,3,98,1,3,1021,NW,1.79,0,0
7397,2010,11,5,4,70,0,3,1021,NW,2.68,0,0
7399,2010,11,5,6,79,0,4,1021,NW,7.6,0,0
7400,2010,11,5,7,67,0,5,1022,NW,9.39,0,0
7402,2010,11,5,9,54,0,9,1022,NW,14.31,0,0
7405,2010,11,5,12,51,1,18,1020,cv,0.89,0,0
7408,2010,11,5,15,83,0,21,1017,SE,8.05,0,0
7410,2010,11,5,17,86,1,18,1017,SE,14.31,0,0
7411,2010,11,5,18,95,4,12,1017,SE,15.2,0,0
7413,2010,11,5,20,154,4,8,1018,cv,0.89,0,0
7418,2010,11,6,1,227,3,4,1018,cv,0.89,0,0
7419,2010,11,6,2,221,3,4,1017,NW,1.79,0,0
7422,2010,11,6,5,143,1,3,1017,NW,7.16,0,0
7423,2010,11,6,6,147,1,2,1017,cv,0.89,0,0
7424,2010,11,6,7,124,2,2,1017,cv,1.78,0,0
7425,2010,11,6,8,127,3,3,1017,NE,0.89,0,0
7426,2010,11,6,9,122,5,8,1018,NW,0.89,0,0
7429,2010,11,6,12,272,4,15,1016,cv,2.67,0,0
7430,2010,11,6,13,298,4,16,1015,cv,3.56,0,0
7431,2010,11,6,14,314,5,17,1014,SE,1.79,0,0
7432,2010,11,6,15,307,5,18,1014,SE,3.58,0,0
7434,2010,11,6,17,374,6,12,1014,SE,1.79,0,0
7435,2010,11,6,18,366,7,10,1014,SE,2.68,0,0
7436,2010,11,6,19,381,7,9,1015,cv,0.89,0,0
7439,2010,11,6,22,463,6,7,1015,NW,0.89,0,0
7440,2010,11,6,23,481,6,7,1015,NW,2.68,0,0
7441,2010,11,7,0,466,5,6,1015,NW,3.57,0,0
7444,2010,11,7,3,95,6,10,1015,NW,11.62,0,0
7446,2010,11,7,5,18,5,8,1015,cv,1.78,0,0
7448,2010,11,7,7,14,2,11,1015,NW,5.81,0,0
7450,2010,11,7,9,11,-3,12,1016,NW,21.45,0,0
7451,2010,11,7,10,13,-4,13,1016,NW,31.28,0,0
7452,2010,11,7,11,16,-4,14,1016,NW,42.46,0,0
7453,2010,11,7,12,17,-5,13,1016,NW,54.53,0,0
7456,2010,11,7,15,14,-5,13,1017,NW,89.85,0,0
7457,2010,11,7,16,13,-6,12,1018,NW,102.81,0,0
7463,2010,11,7,22,10,-7,6,1023,NW,141.71,0,0
7465,2010,11,8,0,18,-8,7,1023,NW,148.86,0,0
7468,2010,11,8,3,13,-7,7,1022,NW,155.57,0,0
7469,2010,11,8,4,12,-7,6,1022,NW,159.59,0,0
7471,2010,11,8,6,7,-4,7,1023,NW,171.66,0,0
7475,2010,11,8,10,8,-8,9,1026,NW,8.94,0,0
7479,2010,11,8,14,6,-13,11,1025,NW,39.34,0,0
7481,2010,11,8,16,7,-14,11,1025,NW,55.44,0,0
7482,2010,11,8,17,10,-13,9,1025,NW,61.25,0,0
7484,2010,11,8,19,19,-11,7,1026,NW,72.42,0,0
7485,2010,11,8,20,21,-11,5,1026,NE,1.79,0,0
7489,2010,11,9,0,21,-6,-2,1025,NE,1.79,0,0
7490,2010,11,9,1,25,-5,-1,1025,NE,4.92,0,0
7491,2010,11,9,2,16,-5,-1,1025,NW,1.79,0,0
7492,2010,11,9,3,15,-7,-1,1024,NW,3.58,0,0
7494,2010,11,9,5,19,-6,-1,1023,NW,1.79,0,0
7495,2010,11,9,6,21,-5,-3,1023,NW,3.58,0,0
7497,2010,11,9,8,45,-4,0,1023,SE,0.89,0,0
7498,2010,11,9,9,25,-5,3,1023,cv,0.89,0,0
7499,2010,11,9,10,31,-5,4,1022,SE,1.79,0,0
7500,2010,11,9,11,47,-6,5,1021,NE,1.79,0,0
7501,2010,11,9,12,75,-7,6,1020,SE,1.79,0,0
7502,2010,11,9,13,75,-8,8,1019,SE,3.58,0,0
7506,2010,11,9,17,66,-6,7,1018,SE,0.89,0,0
7509,2010,11,9,20,111,-4,1,1019,NW,1.79,0,0
7510,2010,11,9,21,128,-3,1,1019,cv,0.45,0,0
7511,2010,11,9,22,146,-3,-1,1020,NE,0.89,0,0
7512,2010,11,9,23,140,-4,-1,1019,NW,0.89,0,0
7513,2010,11,10,0,144,-2,0,1020,NW,1.78,0,0
7514,2010,11,10,1,142,-3,-1,1020,NW,3.57,0,0
7515,2010,11,10,2,143,-4,-1,1020,NW,5.36,0,0
7516,2010,11,10,3,129,-4,-1,1019,NW,6.25,0,0
7517,2010,11,10,4,114,-4,-2,1019,NW,8.04,0,0
7518,2010,11,10,5,94,-4,-1,1019,NW,8.93,0,0
7520,2010,11,10,7,99,-5,-3,1019,NW,12.51,0,0
7522,2010,11,10,9,80,-2,3,1019,cv,0.89,0,0
7524,2010,11,10,11,77,-4,8,1018,cv,2.67,0,0
7526,2010,11,10,13,116,-3,10,1016,cv,4.45,0,0
7527,2010,11,10,14,126,-4,11,1015,SE,3.13,0,0
7528,2010,11,10,15,121,-4,11,1015,SE,4.92,0,0
7531,2010,11,10,18,142,-1,5,1014,SE,7.59,0,0
7533,2010,11,10,20,230,0,4,1014,SE,0.89,0,0
7534,2010,11,10,21,207,-1,2,1014,NE,0.89,0,0
7535,2010,11,10,22,201,-1,2,1013,NW,1.79,0,0
7536,2010,11,10,23,227,-1,3,1013,NW,4.92,0,0
7537,2010,11,11,0,213,-1,5,1012,cv,0.89,0,0
7539,2010,11,11,2,155,-1,6,1010,NW,1.79,0,0
7540,2010,11,11,3,154,-1,6,1010,SE,1.79,0,0
7541,2010,11,11,4,149,0,5,1009,cv,0.89,0,0
7545,2010,11,11,8,153,-2,9,1010,NW,15.64,0,0
7547,2010,11,11,10,17,-2,9,1010,NW,35.3,0,0
7548,2010,11,11,11,16,-2,9,1010,NW,45.13,0,0
7550,2010,11,11,13,12,-2,9,1010,NW,64.79,0,0
7551,2010,11,11,14,16,-2,9,1010,NW,74.62,0,0
7552,2010,11,11,15,11,-2,9,1010,NW,84.45,0,0
7553,2010,11,11,16,12,-2,9,1010,NW,94.28,0,0
7556,2010,11,11,19,10,-3,4,1013,NW,123.77,0,0
7558,2010,11,11,21,8,-6,-1,1016,NW,127.35,0,0
7560,2010,11,11,23,7,-6,-1,1016,NW,130.93,0,0
7562,2010,11,12,1,11,-6,-1,1016,NW,134.51,0,0
7563,2010,11,12,2,10,-6,-1,1016,NW,136.3,0,0
7564,2010,11,12,3,9,-6,-1,1016,NW,138.09,0,0
7567,2010,11,12,6,37,-5,-2,1016,NW,142.56,0,0
7572,2010,11,12,11,81,-5,-1,1016,NW,151.51,0,0
7573,2010,11,12,12,92,-5,-1,1016,NW,153.3,0,0
7574,2010,11,12,13,68,-5,-1,1016,NW,155.09,0,0
7577,2010,11,12,16,99,-5,-1,1016,NW,160.46,0,0
7580,2010,11,12,19,115,-14,7,1023,NW,16.99,0,0
7581,2010,11,12,20,125,-14,7,1023,NW,25.93,0,0
7582,2010,11,12,21,121,-14,7,1023,NW,33.98,0,0
7583,2010,11,12,22,112,-14,7,1023,NW,42.92,0,0
7584,2010,11,12,23,85,-14,7,1023,NW,50.97,0,0
7587,2010,11,13,2,12,-14,7,1023,NW,76.9,0,0
7588,2010,11,13,3,10,-14,6,1023,NW,84.95,0,0
7589,2010,11,13,4,10,-14,5,1023,NW,93.89,0,0
7591,2010,11,13,6,3,-14,4,1025,NW,109.09,0,0
7593,2010,11,13,8,10,-14,4,1027,NW,126.08,0,0
7595,2010,11,13,10,15,-14,3,1027,NW,136.36,0,0
7599,2010,11,13,14,17,-14,3,1027,NW,148.88,0,0
7600,2010,11,13,15,14,-14,3,1027,NW,152.01,0,0
7601,2010,11,13,16,11,-14,3,1027,NW,155.14,0,0
7602,2010,11,13,17,10,-14,3,1027,NW,158.27,0,0
7603,2010,11,13,18,10,-13,1,1029.666667,NW,161.4,0,0
7604,2010,11,13,19,26,-11,0,1032.333333,NW,164.53,0,0
7608,2010,11,13,23,29,-8,0,1035,NW,171.69,0,0
7610,2010,11,14,1,26,-8,0,1035,NW,175.27,0,0
7611,2010,11,14,2,23,-8,0,1035,NW,177.06,0,0
7612,2010,11,14,3,25,-8,0,1035,NW,178.85,0,0
7616,2010,11,14,7,27,-8,0,1035,NW,186.01,0,0
7617,2010,11,14,8,22,-8,0,1035,NW,187.8,0,0
7618,2010,11,14,9,34,-8,0,1035,NW,189.59,0,0
7619,2010,11,14,10,35,-8,0,1035,NW,191.38,0,0
7620,2010,11,14,11,44,-8,0,1035,NW,193.17,0,0
7621,2010,11,14,12,25,-8,0,1035,NW,194.96,0,0
7622,2010,11,14,13,24,-8,0,1035,NW,196.75,0,0
7625,2010,11,14,16,19,-8,0,1035,NW,202.12,0,0
7627,2010,11,14,18,10,-8,0,1035,NW,205.7,0,0
7628,2010,11,14,19,11,-8,0,1035,NW,207.49,0,0
7630,2010,11,14,21,10,-8,0,1035,NW,211.07,0,0
7631,2010,11,14,22,11,-8,0,1035,NW,212.86,0,0
7634,2010,11,15,1,16,-8,0,1035,NW,218.23,0,0
7636,2010,11,15,3,17,-8,0,1035,NW,221.81,0,0
7637,2010,11,15,4,10,-8,0,1035,NW,223.6,0,0
7638,2010,11,15,5,9,-8,0,1035,NW,225.39,0,0
7639,2010,11,15,6,9,-8,0,1035,NW,227.18,0,0
7640,2010,11,15,7,20,-8,0,1035,NW,228.97,0,0
7641,2010,11,15,8,26,-8,0,1035,NW,230.76,0,0
7643,2010,11,15,10,32,-8,0,1035,NW,234.34,0,0
7644,2010,11,15,11,47,-8,0,1035,NW,236.13,0,0
7651,2010,11,15,18,77,-4,-1,1023,NW,248.66,0,0
7652,2010,11,15,19,82,-4,-1,1023,NW,250.45,0,0
7653,2010,11,15,20,107,-4,-1,1023,NW,252.24,0,0
7654,2010,11,15,21,124,-4,-1,1023,NW,254.03,0,0
7656,2010,11,15,23,152,-4,-1,1023,NW,257.61,0,0
7657,2010,11,16,0,166,-4,-1,1023,NW,259.4,0,0
7659,2010,11,16,2,206,-4,-1,1023,NW,262.98,0,0
7660,2010,11,16,3,208,-4,-1,1023,NW,264.77,0,0
7662,2010,11,16,5,152,-4,-1,1023,NW,268.35,0,0
7663,2010,11,16,6,124,-4,-1,1023,NW,270.14,0,0
7664,2010,11,16,7,108,-4,-1,1023,NW,271.93,0,0
7666,2010,11,16,9,92,-4,-1,1023,NW,275.51,0,0
7667,2010,11,16,10,94,-4,-1,1023,NW,277.3,0,0
7668,2010,11,16,11,105,-4,-1,1023,NW,279.09,0,0
7670,2010,11,16,13,78,-4,-1,1023,NW,282.67,0,0
7672,2010,11,16,15,66,-4,-1,1023,NW,286.25,0,0
7675,2010,11,16,18,142,-4,-1,1023,NW,291.62,0,0
7676,2010,11,16,19,135,-4,-1,1023,NW,293.41,0,0
7678,2010,11,16,21,196,-4,-1,1023,NW,296.99,0,0
7679,2010,11,16,22,217,-4,-1,1023,NW,298.78,0,0
7680,2010,11,16,23,227,-4,-1,1023,NW,300.57,0,0
7681,2010,11,17,0,264,-4,-1,1023,NW,302.36,0,0
7682,2010,11,17,1,276,-4,-1,1023,NW,304.15,0,0
7683,2010,11,17,2,275,-4,-2,1023,NW,305.94,0,0
7685,2010,11,17,4,220,-4,-3,1023,cv,0.89,0,0
7689,2010,11,17,8,133,-4,-2,1024,NW,4.47,0,0
7690,2010,11,17,9,129,-2,1,1024,NE,1.79,0,0
7692,2010,11,17,11,197,-4,5,1024,cv,1.78,0,0
7693,2010,11,17,12,247,-3,6,1023,NE,1.79,0,0
7694,2010,11,17,13,288,-3,8,1022,SE,1.79,0,0
7697,2010,11,17,16,472,-2,9,1021,cv,0.89,0,0
7698,2010,11,17,17,467,-2,5,1021,NE,0.89,0,0
7701,2010,11,17,20,525,-2,1,1022,NW,1.78,0,0
7703,2010,11,17,22,502,-2,0,1022,NE,0.89,0,0
7705,2010,11,18,0,521,-3,-1,1022,NE,0.89,0,0
7707,2010,11,18,2,391,-3,-1,1021,NW,3.58,0,0
7709,2010,11,18,4,350,-3,-1,1021,NW,8.5,0,0
7710,2010,11,18,5,354,-3,-2,1020,NE,0.89,0,0
7711,2010,11,18,6,353,-3,-1,1020,NW,1.79,0,0
7712,2010,11,18,7,362,-3,-2,1021,NW,4.92,0,0
7713,2010,11,18,8,339,-1,0,1021,NW,8.05,0,0
7714,2010,11,18,9,325,1,4,1021,NW,11.18,0,0
7716,2010,11,18,11,346,0,7,1020,NW,14.76,0,0
7718,2010,11,18,13,307,1,9,1018,SE,1.79,0,0
7721,2010,11,18,16,324,2,8,1018,SE,7.6,0,0
7723,2010,11,18,18,438,2,6,1018,SE,0.89,0,0
7724,2010,11,18,19,476,2,5,1018,cv,0.89,0,0
7726,2010,11,18,21,470,3,5,1019,cv,2.67,0,0
7727,2010,11,18,22,480,2,4,1019,cv,3.56,0,0
7728,2010,11,18,23,482,2,4,1018,NE,0.89,0,0
7732,2010,11,19,3,485,0,0,1017,NW,8.04,0,0
7733,2010,11,19,4,488,-1,0,1017,NW,9.83,0,0
7734,2010,11,19,5,470,-1,0,1016,NW,11.62,0,0
7735,2010,11,19,6,453,-1,-1,1016,NW,13.41,0,0
7736,2010,11,19,7,466,-2,-1,1016,NW,15.2,0,0
7737,2010,11,19,8,466,1,2,1017,NW,18.33,0,0
7738,2010,11,19,9,501,2,4,1016,NW,21.46,0,0
7739,2010,11,19,10,559,3,7,1016,cv,0.89,0,0
7740,2010,11,19,11,557,1,9,1015,cv,1.78,0,0
7741,2010,11,19,12,540,2,11,1014,SE,1.79,0,0
7742,2010,11,19,13,364,1,12,1012,SE,5.81,0,0
7744,2010,11,19,15,185,-2,13,1011,SE,13.85,0,0
7747,2010,11,19,18,106,-1,4,1011,SE,1.78,0,0
7749,2010,11,19,20,159,0,6,1012,SE,1.79,0,0
7751,2010,11,19,22,277,1,5,1012,cv,1.78,0,0
7753,2010,11,20,0,454,0,1,1012,NE,0.89,0,0
7754,2010,11,20,1,422,-1,1,1012,NW,0.89,0,0
7756,2010,11,20,3,328,-1,0,1011,NW,3.57,0,0
7760,2010,11,20,7,271,-2,0,1012,NW,12.07,0,0
7761,2010,11,20,8,262,-1,3,1013,NW,15.2,0,0
7762,2010,11,20,9,224,0,4,1013,NW,18.33,0,0
7763,2010,11,20,10,200,-1,8,1013,NW,21.46,0,0
7767,2010,11,20,14,200,-2,13,1010,cv,3.57,0,0
7768,2010,11,20,15,207,-2,13,1009,cv,4.46,0,0
7771,2010,11,20,18,280,1,7,1010,cv,0.45,0,0
7774,2010,11,20,21,395,1,4,1010,cv,2.24,0,0
7775,2010,11,20,22,432,1,3,1010,cv,2.69,0,0
7776,2010,11,20,23,438,0,3,1009,cv,3.58,0,0
7777,2010,11,21,0,433,1,2,1009,NE,0.89,0,0
7778,2010,11,21,1,462,1,2,1009,cv,0.45,0,0
7779,2010,11,21,2,439,-1,1,1008,NW,3.13,0,0
7781,2010,11,21,4,355,0,2,1008,NW,6.71,0,0
7782,2010,11,21,5,316,1,3,1008,NW,9.84,0,0
7783,2010,11,21,6,287,1,4,1009,NW,12.97,0,0
7784,2010,11,21,7,210,-2,8,1011,NW,21.91,0,0
7787,2010,11,21,10,28,-12,9,1015,NW,51.86,0,0
7789,2010,11,21,12,16,-12,10,1015,NW,76.89,0,0
7791,2010,11,21,14,10,-12,10,1015,NW,101.92,0,0
7793,2010,11,21,16,10,-13,9,1017,NW,126.06,0,0
7795,2010,11,21,18,11,-13,7,1019,NW,143.05,0,0
7799,2010,11,21,22,11,-11,0,1021,NW,158.7,0,0
7801,2010,11,22,0,19,-11,1,1021,SE,1.79,0,0
7802,2010,11,22,1,25,-8,-2,1021,cv,0.45,0,0
7803,2010,11,22,2,23,-10,-1,1021,cv,1.34,0,0
7806,2010,11,22,5,68,-9,-6,1021,cv,1.78,0,0
7807,2010,11,22,6,66,-7,-4,1021,cv,2.23,0,0
7808,2010,11,22,7,73,-9,-5,1021,NW,1.79,0,0
7809,2010,11,22,8,69,-8,-2,1022,NW,3.58,0,0
7811,2010,11,22,10,46,-11,5,1023,NW,8.5,0,0
7813,2010,11,22,12,,-14,9,1021,NW,15.65,0,0
7815,2010,11,22,14,24,-14,10,1020,cv,1.79,0,0
7817,2010,11,22,16,43,-12,8,1020,SE,3.13,0,0
7819,2010,11,22,18,69,-12,4,1021,SE,6.71,0,0
7820,2010,11,22,19,74,-9,2,1021,SE,7.6,0,0
7821,2010,11,22,20,91,-9,1,1021,cv,0.89,0,0
7823,2010,11,22,22,181,-7,-1,1022,NE,0.89,0,0
7824,2010,11,22,23,223,-7,-1,1022,cv,0.89,0,0
7825,2010,11,23,0,228,-7,-3,1022,SE,0.89,0,0
7826,2010,11,23,1,249,-9,-2,1021,cv,0.89,0,0
7828,2010,11,23,3,218,-9,-1,1021,cv,2.67,0,0
7830,2010,11,23,5,238,-8,-3,1021,cv,4.45,0,0
7832,2010,11,23,7,244,-8,-2,1021,cv,0.89,0,0
7837,2010,11,23,12,238,-7,7,1020,cv,0.89,0,0
7841,2010,11,23,16,208,-7,7,1018,cv,0.89,0,0
7842,2010,11,23,17,217,-6,5,1018,cv,1.78,0,0
7843,2010,11,23,18,258,-4,3,1018,NE,0.89,0,0
7844,2010,11,23,19,251,-6,4,1019,NW,1.79,0,0
7845,2010,11,23,20,235,-6,5,1019,NW,3.58,0,0
7848,2010,11,23,23,264,-6,3,1020,NW,8.95,0,0
7853,2010,11,24,4,194,-6,0,1020,NW,18.34,0,0
7854,2010,11,24,5,181,-6,0,1020,cv,0.89,0,0
7856,2010,11,24,7,27,-11,5,1022,NW,10.73,0,0
7857,2010,11,24,8,19,-14,5,1023,NW,14.75,0,0
7859,2010,11,24,10,17,-16,5,1026,NW,33.08,0,0
7861,2010,11,24,12,18,-16,6,1026,NW,56.33,0,0
7863,2010,11,24,14,16,-17,6,1025,NW,73.32,0,0
7865,2010,11,24,16,13,-16,6,1026,NW,90.31,0,0
7866,2010,11,24,17,16,-16,5,1026,NW,94.33,0,0
7869,2010,11,24,20,19,-16,2,1028,NW,108.19,0,0
7872,2010,11,24,23,23,-13,-3,1029,NW,3.13,0,0
7873,2010,11,25,0,16,-13,-4,1029,NW,4.92,0,0
7877,2010,11,25,4,28,-12,-3,1028,NW,4.92,0,0
7878,2010,11,25,5,23,-12,-4,1028,NW,6.71,0,0
7880,2010,11,25,7,45,-11,-7,1028,NE,1.79,0,0
7882,2010,11,25,9,63,-10,-2,1028,NW,3.58,0,0
7883,2010,11,25,10,80,-12,0,1027,NW,5.37,0,0
7884,2010,11,25,11,55,-12,3,1026,cv,0.89,0,0
7885,2010,11,25,12,49,-12,5,1025,cv,2.68,0,0
7886,2010,11,25,13,54,-14,6,1024,SE,3.13,0,0
7887,2010,11,25,14,57,-14,7,1023,SE,7.15,0,0
7888,2010,11,25,15,54,-14,7,1022,SE,12.07,0,0
7891,2010,11,25,18,105,-11,1,1023,NE,1.79,0,0
7893,2010,11,25,20,104,-10,-2,1024,NE,4.47,0,0
7894,2010,11,25,21,146,-10,-4,1024,NE,5.36,0,0
7895,2010,11,25,22,177,-10,-2,1024,NE,6.25,0,0
7898,2010,11,26,1,120,-10,-6,1023,NW,5.81,0,0
7899,2010,11,26,2,94,-10,-5,1022,NW,7.6,0,0
7900,2010,11,26,3,89,-10,-4,1022,NW,8.49,0,0
7901,2010,11,26,4,85,-9,-5,1022,cv,0.89,0,0
7902,2010,11,26,5,62,-10,-6,1021,NW,0.89,0,0
7903,2010,11,26,6,70,-10,-6,1021,NW,2.68,0,0
7904,2010,11,26,7,80,-10,-6,1021,NW,3.57,0,0
7905,2010,11,26,8,94,-9,-6,1020,cv,0.89,0,0
7906,2010,11,26,9,93,-7,-2,1020,NW,3.13,0,0
7907,2010,11,26,10,96,-8,-1,1019,NW,6.26,0,0
7908,2010,11,26,11,96,-11,1,1017,NW,8.05,0,0
7909,2010,11,26,12,124,-12,3,1015,cv,0.89,0,0
7910,2010,11,26,13,137,-12,3,1014,NE,1.79,0,0
7911,2010,11,26,14,127,-12,4,1012,cv,0.89,0,0
7914,2010,11,26,17,127,-12,3,1012,cv,1.79,0,0
7915,2010,11,26,18,148,-11,3,1013,NW,3.13,0,0
7916,2010,11,26,19,159,-11,2,1013,NW,6.26,0,0
7918,2010,11,26,21,174,-8,-3,1014,cv,1.78,0,0
7919,2010,11,26,22,156,-8,-3,1014,cv,2.67,0,0
7922,2010,11,27,1,61,-23,6,1017,NW,43.81,0,0
7923,2010,11,27,2,69,-23,4,1018,NW,56.77,0,0
7924,2010,11,27,3,49,-22,3,1019,NW,68.84,0,0
